coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses,win_ratio
laimbbi01w,5,DET,WNBA,0,17,17,1,2,0.5
laimbbi01w,6,DET,WNBA,0,16,18,0,2,0.471
laimbbi01w,7,DET,WNBA,0,23,11,7,3,0.676
laimbbi01w,8,DET,WNBA,0,24,10,6,5,0.706
laimbbi01w,9,DET,WNBA,0,22,12,7,2,0.647
laimbbi01w,10,DET,WNBA,1,1,2,0,0,0.333
liebena01w,1,DET,WNBA,0,14,18,0,0,0.438
maherto99w,2,WAS,WNBA,0,10,22,0,0,0.312
mahorri01w,10,DET,WNBA,2,17,14,3,2,0.548
mcconsu01w,4,MIN,WNBA,0,18,16,1,2,0.529
mcconsu01w,5,MIN,WNBA,0,18,16,0,2,0.529
mcconsu01w,6,MIN,WNBA,0,14,20,0,0,0.412
mcconsu01w,7,MIN,WNBA,1,9,14,0,0,0.391
mchugma99w,2,SAC,WNBA,2,14,6,3,2,0.7
mchugma99w,3,SAC,WNBA,0,14,18,0,0,0.438
mchugma99w,4,SAC,WNBA,1,7,11,0,0,0.389
meadoma99w,9,ATL,WNBA,0,4,30,0,0,0.118
meadoma99w,10,ATL,WNBA,0,18,16,0,2,0.529
millech99w,1,PHO,WNBA,0,20,12,0,2,0.625
overtbo99w,8,CHI,WNBA,0,14,20,0,0,0.412
peckca99wc,1,ORL,WNBA,0,16,16,1,2,0.5
peckca99wc,2,ORL,WNBA,0,13,19,0,0,0.406
plankju99w,10,WAS,WNBA,0,16,18,0,2,0.471
rollitr01w,8,WAS,WNBA,2,16,14,0,0,0.533
rollitr01w,9,WAS,WNBA,1,8,14,0,0,0.364
rothsro99w,1,MIA,WNBA,0,13,19,0,0,0.406
rothsro99w,2,MIA,WNBA,0,20,12,1,2,0.625
rothsro99w,3,MIA,WNBA,0,15,17,0,0,0.469
sharpli99w,3,PHO,WNBA,2,5,17,0,0,0.227
shumajo01w,4,PHO,WNBA,0,8,26,0,0,0.235
stanlma99w,3,WAS,WNBA,0,17,15,3,2,0.531
stanlma99w,4,WAS,WNBA,0,9,25,0,0,0.265
thibami99w,4,CON,WNBA,0,18,16,2,2,0.529
thibami99w,5,CON,WNBA,0,18,16,5,3,0.529
thibami99w,6,CON,WNBA,0,26,8,5,3,0.765
thibami99w,7,CON,WNBA,0,26,8,3,2,0.765
thibami99w,8,CON,WNBA,0,18,16,1,2,0.529
thibami99w,9,CON,WNBA,0,21,13,1,2,0.618
thibami99w,10,CON,WNBA,0,16,18,0,0,0.471
thompka99w,5,LAS,WNBA,2,11,3,1,2,0.786
thompka99w,8,HOU,WNBA,0,13,21,0,0,0.382
thompka99w,9,HOU,WNBA,0,17,17,0,0,0.5
vandehe99w,3,MIN,WNBA,2,4,9,0,0,0.308
walkeda01w,1,WAS,WNBA,2,5,7,0,2,0.417
weisery99w,5,LAS,WNBA,2,11,3,1,2,0.786
westhpa99w,7,PHO,WNBA,0,18,16,0,0,0.529
westhpa99w,8,PHO,WNBA,0,23,11,7,2,0.676
whisejo99w,4,SAC,WNBA,2,12,4,3,3,0.75
whisejo99w,5,SAC,WNBA,0,18,16,3,3,0.529
whisejo99w,6,SAC,WNBA,0,25,9,7,1,0.735
whisejo99w,7,SAC,WNBA,0,21,13,6,3,0.618
whisejo99w,10,SAC,WNBA,2,9,12,0,0,0.429
willifr99w,1,UTA,WNBA,0,18,14,0,0,0.562
willifr99w,2,UTA,WNBA,1,5,8,0,0,0.385
willigr99w,2,DET,WNBA,0,10,22,0,0,0.312
willigr99w,3,DET,WNBA,1,0,10,0,0,0.0
wintebr01w,5,IND,WNBA,0,15,19,0,0,0.441
wintebr01w,6,IND,WNBA,0,21,13,2,2,0.618
wintebr01w,7,IND,WNBA,0,21,13,0,2,0.618
wintebr01w,8,IND,WNBA,0,21,13,3,3,0.618
zierddo99w,8,MIN,WNBA,0,10,24,0,0,0.294
zierddo99w,9,MIN,WNBA,0,16,18,0,0,0.471
