playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,ppg,rpg,apg,spg,bpg,mpg,fg_pct,efficiency,gs_pct,win_pct,made_playoffs,conf_rank,ppg_league_avg,rpg_league_avg,apg_league_avg,spg_league_avg,bpg_league_avg,efficiency_league_avg,ppg_vs_avg,rpg_vs_avg,apg_vs_avg,efficiency_vs_avg,is_rookie,won_most_valuable_player,won_defensive_player_of_the_year,won_rookie_of_the_year,won_most_improved_player,won_all-star_game_most_valuable_player
abrossv01w,2,0,MIN,WNBA,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.192307692307692,6.6923076923076925,2.0384615384615383,1.6153846153846154,0.34615384615384615,32.53846153846154,0.3890784982935154,20.615384615384617,0.8846153846153846,0.375,1,6.0,6.368809162297727,3.00038464883749,1.452907564404673,0.7765804416666324,0.35794592757565524,10.52923972968196,6.823498530009965,3.6919230434702026,0.5855539740568654,10.086144885702657,1,0,0,0,0,0
abrossv01w,3,0,MIN,WNBA,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62962962962963,5.407407407407407,2.2222222222222223,1.5555555555555556,0.37037037037037035,29.814814814814813,0.37658227848101267,17.77777777777778,1.0,0.3125,1,8.0,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,4.9441099048309844,2.3868151945795444,0.7127914128575685,6.8720637427161755,0,0,0,0,0,0
abrossv01w,4,0,MIN,WNBA,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,10.6,4.7,2.7333333333333334,1.4666666666666666,0.36666666666666664,26.4,0.3929824561403509,16.866666666666667,0.8333333333333334,0.5294117647058824,1,4.5,6.560607765916175,3.0233859858234644,1.4659789318296925,0.7202394136440591,0.3555733565278086,10.780667026648473,4.039392234083825,1.6766140141765358,1.2673544015036409,6.085999640018194,0,0,0,0,0,0
abrossv01w,5,0,MIN,WNBA,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,6.636363636363637,3.3636363636363638,2.0454545454545454,1.3636363636363635,0.09090909090909091,21.0,0.35251798561151076,11.545454545454545,0.5,0.5294117647058824,1,3.5,6.576288305031726,2.967241265142569,1.4970187680554519,0.7632650943945125,0.3645049460335224,10.771997844127686,0.060075331331910675,0.39639509849379495,0.5484357773990935,0.7734567013268592,0,0,0,0,0,0
abrossv01w,6,0,MIN,WNBA,31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.806451612903226,3.4516129032258065,1.935483870967742,1.5483870967741935,0.1935483870967742,25.06451612903226,0.39492753623188404,14.35483870967742,1.0,0.4117647058823529,1,6.0,6.457699244433117,2.871647464466044,1.47539613539918,0.7169405289554276,0.34355754689773876,10.475106723100376,3.348752368470109,0.5799654387597624,0.460087735568562,3.8797319865770437,0,0,0,0,0,0
abrossv01w,7,0,MIN,WNBA,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.735294117647059,3.1176470588235294,1.588235294117647,1.0,0.029411764705882353,21.294117647058822,0.4107883817427386,11.676470588235293,0.058823529411764705,0.29411764705882354,1,7.0,7.145547376818877,3.1938474858185915,1.5621029797026624,0.7675427900594962,0.32896798536135496,11.572242388552134,0.5897467408281818,-0.07620042699506202,0.026132314414984537,0.10422819968315977,0,0,0,0,0,0
abrossv01w,8,0,MIN,WNBA,34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.147058823529411,4.411764705882353,2.5,1.2941176470588236,0.11764705882352941,24.794117647058822,0.4429530201342282,16.470588235294116,0.8529411764705882,0.29411764705882354,1,6.5,7.559614834924099,3.373083806385523,1.6751652793086431,0.7970029687834568,0.3610873756347264,12.200634792466717,2.5874439886053127,1.0386808994968302,0.8248347206913569,4.269953442827399,0,0,0,0,0,0
adamsjo01w,4,0,MIN,WNBA,10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2.3,0.4,0.2,0.3,9.6,0.3939393939393939,5.5,0.0,0.5294117647058824,1,4.5,6.560607765916175,3.0233859858234644,1.4659789318296925,0.7202394136440591,0.3555733565278086,10.780667026648473,-3.260607765916175,-0.7233859858234646,-1.0659789318296924,-5.280667026648473,1,0,0,0,0,0
aguilel01w,3,0,UTA,WNBA,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1.5357142857142858,0.39285714285714285,0.5714285714285714,0.10714285714285714,0.07142857142857142,5.035714285714286,0.42424242424242425,2.2857142857142856,0.0,0.625,1,3.0,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,-5.14980543908436,-2.6277350699707203,-0.9380022379360824,-8.619999749347318,1,0,0,0,0,0
ajavoma01w,9,0,HOU,WNBA,34,2,604,273,33,27,60,59,31,6,55,85,284,94,91,72,68,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.029411764705882,1.7647058823529411,1.7352941176470589,0.9117647058823529,0.17647058823529413,17.764705882352942,0.33098591549295775,11.0,0.058823529411764705,0.5,1,5.0,7.240842078945284,3.2973513748803076,1.524153209337488,0.7788575447360979,0.3919818637724716,11.801991744243765,0.7885696857605984,-1.5326454925273665,0.21114090830957077,-0.8019917442437645,1,0,0,0,0,0
