year,tmID,team_avg_player_prev_rating,team_median_player_prev_rating,team_std_player_prev_rating,team_num_players_prev
1,CHA,,,,0
1,CLE,,,,0
1,DET,,,,0
1,HOU,,,,0
1,IND,,,,0
1,LAS,,,,0
1,MIA,,,,0
1,MIN,,,,0
1,NYL,,,,0
1,ORL,,,,0
1,PHO,,,,0
1,POR,,,,0
1,SAC,,,,0
1,SEA,,,,0
1,UTA,,,,0
1,WAS,,,,0
2,CHA,0.6450707799135179,0.6042895067765823,0.12155963302476488,8
2,CLE,0.6112374527980445,0.6294331180767876,0.11652040751838919,12
2,DET,0.642808874789368,0.6616800920598389,0.10744040910051096,7
2,HOU,0.5933759551848307,0.5333333333333333,0.1487654401369994,7
2,IND,0.6290617104755742,0.6515943160166203,0.11133791007277835,10
2,LAS,0.7464181229768445,0.756046065259117,0.21500135251655153,9
2,MIA,0.5881905532133143,0.5971749884951679,0.11722677662506766,8
2,MIN,0.5731378054062625,0.5545454545454546,0.19176697206321852,7
2,NYL,0.611562760654684,0.6128054740957967,0.1152750672134737,9
2,ORL,0.5945276947680065,0.6057932807269248,0.17998297541748592,8
2,PHO,0.5794179013749222,0.5833005893909626,0.19631749846622618,11
2,POR,0.6399138007688869,0.6591397849462366,0.10053524797641003,9
2,SAC,0.6976747968060901,0.6025490196078431,0.22816222578432485,11
2,SEA,0.5091455947462519,0.537467700258398,0.12491081531497603,11
2,UTA,0.6744060407443457,0.617762399077278,0.2085009579147924,9
2,WAS,0.6176171216945517,0.6511950286806885,0.1799869413122934,8
3,CHA,0.564961489403981,0.5286163194444444,0.12865665161110892,12
3,CLE,0.7189951049315605,0.6644694533762057,0.27328940358299164,9
3,DET,0.5499653141037818,0.561437908496732,0.12036966963780477,7
3,HOU,0.6710279380757643,0.6463800904977375,0.2807333706039085,9
3,IND,0.6000043399659298,0.6197660096169156,0.12732832230986318,10
3,LAS,0.7109367390446955,0.6032432432432432,0.2161411337452003,9
3,MIA,0.5786666050814411,0.5819166359341288,0.08848762219275026,10
3,MIN,0.6114604954828093,0.6225777232351566,0.13913234994685098,10
3,NYL,0.6843830365987347,0.6654952076677316,0.11183971636758396,9
3,ORL,0.6138554228624764,0.6030769230769231,0.1576627699895528,13
3,PHO,0.5601535601276885,0.5604371584699454,0.07443609588437487,13
3,POR,0.6022417120792952,0.592241401754797,0.06635296047373726,12
3,SAC,0.670113511106654,0.6743534853965207,0.2556856171230736,12
3,SEA,0.6665524777015689,0.6177383038285702,0.21043329045374462,10
3,UTA,0.6174774451668374,0.5596774193548387,0.20925625461485722,9
3,WAS,0.5680626666046829,0.6045500505561172,0.18950957008868982,11
4,CHA,0.6397827724868668,0.6152081293208027,0.13005177523908354,10
4,CLE,0.6300729197265325,0.6408076757365857,0.1142405011227942,10
4,CON,0.6654441569300447,0.6931601245114516,0.11646368636020804,10
4,DET,0.6387126073945759,0.6429123711340206,0.11012761436690127,9
4,HOU,0.6610008371887495,0.63079754601227,0.16213626013425547,9
4,IND,0.6198289355545155,0.5617210682492582,0.2250783784381547,10
4,LAS,0.6563670170566973,0.6619436390637154,0.2740863427382239,12
4,MIN,0.5951410654168833,0.5931818181818183,0.1068345529017669,9
4,NYL,0.6183483713222889,0.604863813229572,0.16843047514438303,9
4,PHO,0.5804122267886599,0.5433608296658123,0.12641123101819546,16
4,SAC,0.6867484243259397,0.7043632075471697,0.1382249421635863,9
4,SAS,0.6097291048045518,0.5789473684210527,0.27027608223370386,9
4,SEA,0.6660163766130976,0.641117841484901,0.2450363382741554,12
4,WAS,0.6044659997597785,0.5892141350210971,0.20620469068597194,10
5,CHA,0.6247035965374423,0.6545641025641026,0.13919945309490364,9
5,CON,0.7136597994892488,0.7183462741291924,0.09929741370108323,6
5,DET,0.6833952562633738,0.7066914498141263,0.14200397496247735,9
5,HOU,0.5647386191142179,0.5862980769230769,0.22634584346047337,13
5,IND,0.6628310783282009,0.6045871559633027,0.17068999397091097,11
5,LAS,0.7115510490665223,0.6827735124760077,0.21379834306340462,8
5,MIN,0.6255103317051061,0.5939972714870395,0.08718262429513157,7
5,NYL,0.5651297756504692,0.6139203543919749,0.24912814668766003,10
5,PHO,0.6248405608322785,0.6472043569542894,0.1149718900771573,8
5,SAC,0.6667345568520916,0.637801325063583,0.16211905241396543,10
5,SAS,0.6516818659109117,0.6607661620920471,0.18628533322561017,12
5,SEA,0.7145337596084493,0.6715329476861167,0.2091674358674728,10
5,WAS,0.641812252302875,0.5955653660261699,0.18224317854097777,10
6,CHA,0.6705828438687298,0.7070912993431017,0.2043314173632752,8
6,CON,0.6604970526885214,0.6483813611281423,0.16811490563346337,10
6,DET,0.6410698179185405,0.5852631578947368,0.20228300675704355,9
6,HOU,0.6387794432305869,0.6223148577962955,0.11332059202070252,10
6,IND,0.6769438157673552,0.6192737430167597,0.18261599774907666,9
6,LAS,0.5976960584524763,0.645926855982689,0.33279502575700576,12
6,MIN,0.564766308082774,0.5817051509769094,0.23004292777272659,11
6,NYL,0.5743938677767685,0.5738007380073801,0.1353937405611379,11
6,PHO,0.634270229207114,0.624899991188651,0.1927060714482325,12
6,SAC,0.6552771018195042,0.619083593786444,0.18925475612572487,8
6,SAS,0.5933918219108694,0.5083258460616952,0.3565448636233768,10
6,SEA,0.6435727152064636,0.6142934782608696,0.20133920949888462,8
6,WAS,0.5849872247796186,0.5797280593325093,0.11816119283185285,11
7,CHA,0.580234664263275,0.5714663511010496,0.09309689667968285,8
7,CHI,0.5364359404405848,0.5314449468716218,0.1323509578569133,10
