playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,ppg,rpg,apg,spg,bpg,mpg,fg_pct,efficiency,gs_pct,league_ppg,league_rpg,league_apg,league_efficiency,ppg_vs_avg,rpg_vs_avg,apg_vs_avg,efficiency_vs_avg,ppg_cumulative,rpg_cumulative,apg_cumulative,efficiency_cumulative,mpg_cumulative,spg_cumulative,bpg_cumulative,ppg_prev,rpg_prev,apg_prev,efficiency_prev,mpg_prev,is_rookie,years_experience,win_pct,conf_rank,made_playoffs,won_championship,playoff_wins,won_most_valuable_player,won_defensive_player_of_the_year,won_rookie_of_the_year,won_most_improved_player,won_all-star_game_most_valuable_player,won_wnba_finals_most_valuable_player,total_previous_awards,years_since_last_award,prev_most_valuable_player,prev_defensive_player_of_the_year,prev_rookie_of_the_year,prev_most_improved_player,prev_all-star_game_most_valuable_player,prev_wnba_finals_most_valuable_player
abrossv01w,2,0,MIN,WNBA,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.192307692307692,6.6923076923076925,2.0384615384615383,1.6153846153846154,0.34615384615384615,32.53846153846154,0.3890784982935154,20.615384615384617,0.8846153846153846,6.368809162297727,3.00038464883749,1.452907564404673,10.52923972968196,6.823498530009965,3.6919230434702026,0.5855539740568654,10.086144885702657,13.192307692307692,6.6923076923076925,2.0384615384615383,20.615384615384617,32.53846153846154,1.6153846153846154,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,True,0,0.375,6.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,3,0,MIN,WNBA,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62962962962963,5.407407407407407,2.2222222222222223,1.5555555555555556,0.37037037037037035,29.814814814814813,0.37658227848101267,17.77777777777778,1.0,6.685519724798645,3.020592212827863,1.5094308093646538,10.905714035061603,4.9441099048309844,2.3868151945795444,0.7127914128575685,6.8720637427161755,24.82193732193732,12.0997150997151,4.260683760683761,38.3931623931624,62.35327635327636,3.170940170940171,0.7165242165242165,13.192307692307692,6.6923076923076925,2.0384615384615383,20.615384615384617,32.53846153846154,False,1,0.3125,8.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,4,0,MIN,WNBA,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,10.6,4.7,2.7333333333333334,1.4666666666666666,0.36666666666666664,26.4,0.3929824561403509,16.866666666666667,0.8333333333333334,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,4.039392234083825,1.6766140141765358,1.2673544015036409,6.085999640018194,35.42193732193732,16.7997150997151,6.994017094017094,55.25982905982906,88.75327635327635,4.637606837606837,1.0831908831908832,11.62962962962963,5.407407407407407,2.2222222222222223,17.77777777777778,29.814814814814813,False,2,0.5294117647058824,4.5,1,0,1,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,5,0,MIN,WNBA,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,6.636363636363637,3.3636363636363638,2.0454545454545454,1.3636363636363635,0.09090909090909091,21.0,0.35251798561151076,11.545454545454545,0.5,6.576288305031726,2.967241265142569,1.4970187680554519,10.771997844127686,0.060075331331910675,0.39639509849379495,0.5484357773990935,0.7734567013268592,42.05830095830096,20.163351463351464,9.039471639471639,66.8052836052836,109.75327635327635,6.001243201243201,1.174099974099974,10.6,4.7,2.7333333333333334,16.866666666666667,26.4,False,3,0.5294117647058824,3.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,6,0,MIN,WNBA,31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.806451612903226,3.4516129032258065,1.935483870967742,1.5483870967741935,0.1935483870967742,25.06451612903226,0.39492753623188404,14.35483870967742,1.0,6.457699244433117,2.871647464466044,1.47539613539918,10.475106723100376,3.348752368470109,0.5799654387597624,0.460087735568562,3.8797319865770437,51.864752571204185,23.61496436657727,10.974955510439381,81.16012231496103,134.81779248230862,7.549630298017394,1.3676483611967483,6.636363636363637,3.3636363636363638,2.0454545454545454,11.545454545454545,21.0,False,4,0.4117647058823529,6.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,7,0,MIN,WNBA,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.735294117647059,3.1176470588235294,1.588235294117647,1.0,0.029411764705882353,21.294117647058822,0.4107883817427386,11.676470588235293,0.058823529411764705,7.145547376818877,3.1938474858185915,1.5621029797026624,11.572242388552134,0.5897467408281818,-0.07620042699506202,0.026132314414984537,0.10422819968315977,59.60004668885124,26.7326114254008,12.563190804557028,92.83659290319632,156.11191012936743,8.549630298017394,1.3970601259026305,9.806451612903226,3.4516129032258065,1.935483870967742,14.35483870967742,25.06451612903226,False,5,0.29411764705882354,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,8,0,MIN,WNBA,34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.147058823529411,4.411764705882353,2.5,1.2941176470588236,0.11764705882352941,24.794117647058822,0.4429530201342282,16.470588235294116,0.8529411764705882,7.559614834924099,3.373083806385523,1.6751652793086431,12.200634792466717,2.5874439886053127,1.0386808994968302,0.8248347206913569,4.269953442827399,69.74710551238066,31.144376131283153,15.063190804557028,109.30718113849044,180.90602777642624,9.843747945076219,1.51470718472616,7.735294117647059,3.1176470588235294,1.588235294117647,11.676470588235293,21.294117647058822,False,6,0.29411764705882354,6.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo01w,4,0,MIN,WNBA,10,0,96,33,10,13,23,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2.3,0.4,0.2,0.3,9.6,0.3939393939393939,5.5,0.0,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-3.260607765916175,-0.7233859858234646,-1.0659789318296924,-5.280667026648473,3.3,2.3,0.4,5.5,9.6,0.2,0.3,0.0,0.0,0.0,0.0,0.0,True,0,0.5294117647058824,4.5,1,0,1,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
aguilel01w,3,0,UTA,WNBA,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1.5357142857142858,0.39285714285714285,0.5714285714285714,0.10714285714285714,0.07142857142857142,5.035714285714286,0.42424242424242425,2.2857142857142856,0.0,6.685519724798645,3.020592212827863,1.5094308093646538,10.905714035061603,-5.14980543908436,-2.6277350699707203,-0.9380022379360824,-8.619999749347318,1.5357142857142858,0.39285714285714285,0.5714285714285714,2.2857142857142856,5.035714285714286,0.10714285714285714,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,True,0,0.625,3.0,1,0,2,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
ajavoma01w,9,0,HOU,WNBA,34,2,604,273,33,27,60,59,31,6,55,85,284,94,91,72,68,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.029411764705882,1.7647058823529411,1.7352941176470589,0.9117647058823529,0.17647058823529413,17.764705882352942,0.33098591549295775,11.0,0.058823529411764705,7.240842078945284,3.2973513748803076,1.524153209337488,11.801991744243765,0.7885696857605984,-1.5326454925273665,0.21114090830957077,-0.8019917442437645,8.029411764705882,1.7647058823529411,1.7352941176470589,11.0,17.764705882352942,0.9117647058823529,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,True,0,0.5,5.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
