feature,importance
ppg_prev,0.16677948472173412
playoff_ppg_prev,0.11492014275095581
efficiency_prev,0.09665852784242983
PostPoints_prev,0.08686385311476859
player_rating_prev,0.07540104448313638
PostRebounds_prev,0.0744696168971076
PostMinutes_prev,0.06309054400581018
apg_prev,0.0572514938887061
rpg_prev,0.050789422090303994
PostAssists_prev,0.03946487879528027
PostBlocks_prev,0.037444781264245705
years_experience,0.03693084422709002
PostGS_prev,0.02914808511135272
PostSteals_prev,0.02884920697383731
PostGP_prev,0.01557190542509896
playoff_wins_prev,0.011653291535252679
career_total_awards,0.011381637650989164
won_championship_prev,0.0022453770672028477
career_wnba_finals_most_valuable_player,0.0010858621546977695
