test_year,winner_rank,winner_proba,top3_correct,test_accuracy,test_auc,n_train,n_test
4,116.0,0.0,False,0.9925373134328358,0.368421052631579,302,134
5,7.0,0.049729552585575564,False,0.9914529914529915,0.9482758620689655,436,117
6,7.0,0.02985128732867784,False,0.992,0.9516129032258065,553,125
7,1.0,0.23877091832376263,True,0.991869918699187,1.0,678,123
8,4.0,0.07929272804903661,False,0.9925925925925926,0.9776119402985075,801,135
10,7.0,0.08954242641444299,False,0.9922480620155039,0.953125,1063,129
