test_year,train_accuracy,test_accuracy,train_auc,test_auc,gap_accuracy,gap_auc
4,1.0,0.9925373134328358,1.0,0.368421052631579,0.007462686567164201,0.631578947368421
5,1.0,0.9914529914529915,1.0,0.9482758620689655,0.008547008547008517,0.051724137931034475
6,1.0,0.992,1.0,0.9516129032258065,0.008000000000000007,0.048387096774193505
7,1.0,0.991869918699187,1.0,1.0,0.008130081300813052,0.0
8,1.0,0.9925925925925926,1.0,0.9776119402985075,0.007407407407407418,0.02238805970149249
10,1.0,0.9922480620155039,1.0,0.953125,0.007751937984496138,0.046875
