feature,importance
player_rating_prev,0.21615988747399226
efficiency_prev,0.19091860189375448
rpg_prev,0.09981321519568664
spg_prev,0.09826404748344857
bpg_prev,0.07339175525631876
career_total_awards,0.07206711225623591
minutes_prev,0.06620285411510801
mpg_prev,0.05714292541471686
gs_pct_prev,0.04168814665402113
margin_prev,0.030072711443430374
win_pct_prev,0.0163181648435847
years_experience,0.011916544073712856
career_defensive_player_of_the_year,0.010398607112787442
conf_rank_prev,0.008004529237166885
GP_prev,0.007640897546035099
made_playoffs_prev,0.0
