feature,importance
efficiency_vs_league,0.18350425096602832
efficiency_prev,0.1498735198322135
rating_vs_league,0.10313640381704212
ppg_vs_league,0.1023923248924908
bpg_prev,0.09308679190780143
ppg_prev,0.09252562234732245
player_rating_prev,0.08392108307793059
is_elite_prev,0.050210465505998024
rpg_prev,0.02508882576999984
rpg_vs_league,0.020467073856032334
mpg_prev,0.018633174940418638
career_total_awards,0.011261203324549472
minutes_prev,0.010982673948418996
gs_pct_prev,0.00977788845045707
career_most_valuable_player,0.0065828547142194535
apg_prev,0.006576575981060905
margin_prev,0.006489042787928212
fg_pct_prev,0.00568397202714973
apg_vs_league,0.005525229670568627
years_experience,0.004647755291723111
spg_prev,0.003694304845605477
GP_prev,0.002230585027926497
conf_rank_prev,0.0020006817169553512
win_pct_prev,0.0017076953001591542
made_playoffs_prev,0.0
