test_year,winner_rank,winner_proba,top3_correct,test_accuracy,test_auc,n_train,n_test
3,121.0,0.008341232227488135,False,0.99375,0.2641509433962264,142,160
4,117.0,0.0,False,0.9925373134328358,0.30451127819548873,302,134
5,94.0,0.0,False,0.9829059829059829,0.4565217391304348,436,117
8,19.0,0.0248599965989539,False,0.9925925925925926,0.8656716417910447,801,135
9,30.0,0.028525752946311655,False,0.9921259842519685,0.7698412698412698,936,127
10,11.0,0.06921149699316649,False,0.9922480620155039,0.921875,1063,129
