test_year,winner_rank,winner_proba,top3_correct,test_accuracy,test_auc,n_train,n_test
4,3.0,0.3680263851316933,True,0.9850746268656716,0.9849624060150377,302,134
5,1.0,0.5262533596983839,True,1.0,1.0,436,117
6,6.0,0.024665241620802292,False,0.984,0.9596774193548386,553,125
7,1.0,0.15911747003488982,True,0.991869918699187,1.0,678,123
8,3.0,0.15947955430877492,True,0.9925925925925926,0.9850746268656716,801,135
10,8.0,0.09977883527015101,False,0.9922480620155039,0.9453125,1063,129
