test_year,train_accuracy,test_accuracy,train_auc,test_auc,gap_accuracy,gap_auc
4,0.9966887417218543,0.9850746268656716,1.0,0.9849624060150377,0.011614114856182689,0.015037593984962294
5,1.0,1.0,1.0,1.0,0.0,0.0
6,1.0,0.984,1.0,0.9596774193548386,0.016000000000000014,0.040322580645161366
7,1.0,0.991869918699187,1.0,1.0,0.008130081300813052,0.0
8,1.0,0.9925925925925926,1.0,0.9850746268656716,0.007407407407407418,0.014925373134328401
10,1.0,0.9922480620155039,1.0,0.9453125,0.007751937984496138,0.0546875
