feature,importance
efficiency_prev,0.1499698843354877
efficiency_vs_league,0.14526724425912743
ppg_prev,0.10753616979513232
mpg_prev,0.10170576824908892
player_rating_prev,0.09856355517829378
ppg_vs_league,0.09798255442618761
win_pct_prev,0.07133697860020076
gs_pct_prev,0.06197398818816236
GP_prev,0.05888252259312794
mpg_improvement,0.028424791064676633
years_experience,0.026467039862424106
ppg_improvement,0.018711068462387754
efficiency_improvement,0.017463405561195744
rating_improvement,0.015660304186759646
career_total_awards,5.472523774739611e-05
