test_year,train_accuracy,test_accuracy,train_auc,test_auc,gap_accuracy,gap_auc
3,1.0,0.99375,1.0,0.2641509433962264,0.006249999999999978,0.7358490566037736
4,1.0,0.9925373134328358,1.0,0.30451127819548873,0.007462686567164201,0.6954887218045113
5,1.0,0.9829059829059829,1.0,0.4565217391304348,0.017094017094017144,0.5434782608695652
8,1.0,0.9925925925925926,1.0,0.8656716417910447,0.007407407407407418,0.13432835820895528
9,1.0,0.9921259842519685,1.0,0.7698412698412698,0.007874015748031482,0.23015873015873023
10,1.0,0.9922480620155039,1.0,0.921875,0.007751937984496138,0.078125
