test_year,winner_rank,winner_proba,top3_correct,test_accuracy,test_auc,n_train,n_test
3,1.0,0.6183155757382894,True,0.9866666666666667,1.0,65,75
5,41.0,0.0,False,0.9696969696969697,0.3923076923076923,198,66
6,7.0,0.07377778516873944,False,0.9852941176470589,0.9104477611940298,264,68
7,49.0,0.004900398406374502,False,0.9852941176470589,0.28358208955223885,332,68
9,69.0,0.0,False,0.9863013698630136,0.16666666666666669,467,73
