bioID,college,collegeOther,pos,height_cm,weight_kg,birth_date,birth_year
sanniol01w,West_Virginia,Unknown,C,187.96,79.38659905706457,1986-08-21,1986.0
santoal01w,Unknown,Unknown,C,195.58,82.100152,1973-12-02,1973.0
santoke01w,Unknown,Unknown,F,190.5,85.275296,1979-11-10,1979.0
sarenra01w,Unknown,Unknown,C,198.12,100.697424,1974-06-27,1974.0
sauerpa01w,Connecticut,Unknown,C,193.04,92.079176,1977-12-08,1977.0
saundja01w,Texas_A&M,Unknown,F,180.34,65.77083999999999,1979-08-21,1979.0
saureau01w,Unknown,Unknown,G,177.8,73.935496,1976-10-31,1976.0
savasla01w,Washington,Unknown,G,172.72,60.781328,1974-03-18,1974.0
schumke01w,Connecticut,Unknown,C,195.58,83.007336,1977-10-14,1977.0
schwege01w,Duke,Unknown,G,182.88,72.57472,1979-01-31,1979.0
scottol01w,Stanford,Unknown,C,187.96,79.3786,1976-08-05,1976.0
scottra01w,Colorado,Unknown,F,190.5,76.657048,1975-08-12,1975.0
shakiel01w,Unknown,Unknown,F,190.5,86.18248,1970-06-02,1970.0
sharpkb01w,Cincinnati,Unknown,G,175.26,65.77083999999999,1981-04-18,1981.0
sharpli99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
sheetsh01w,Colorado,Unknown,G,167.64000000000001,58.96696,1975-08-15,1975.0
shegoch01w,North_Carolina,Unknown,C,195.58,84.11445206481179,1990-02-22,1990.0
shielas01w,SW_Tennessee_CC,Unknown,G,177.8,70.30676,1985-07-15,1985.0
shudlca01w,Minnesota,Unknown,C,182.88,76.23469705189977,1972-05-13,1972.0
shulead01w,Georgia,Unknown,G,167.64000000000001,69.399576,1969-04-24,1969.0
shumajo01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
simondy01w,Arizona_State,Unknown,G,165.1,62.142103999999996,1989-09-29,1989.0
simpsda01w,Houston,Unknown,F,190.5,72.57472,1969-04-11,1969.0
slaisma01w,Cincinnati,Unknown,G,172.72,78.471416,1973-08-23,1973.0
slauggw01w,Tulane,Unknown,F,190.5,82.100152,1980-07-01,1980.0
slavtge01w,Florida_International,Unknown,G,185.42000000000002,72.57472,1979-10-20,1979.0
smithai01w,Louisiana_State,Unknown,F,187.96,78.471416,1980-07-18,1980.0
smithbr01w,Stanford,Unknown,F,190.5,88.45044,1984-04-30,1984.0
smithch01w,Arkansas,Unknown,G,170.18,63.50288,1975-08-14,1975.0
smithch02w,Stanford,Unknown,F,177.8,65.77083999999999,1975-05-02,1975.0
smithch03w,North_Carolina,Unknown,G,182.88,67.131616,1973-08-23,1973.0
smithcr01w,Iowa,Unknown,G,167.64000000000001,54.884631999999996,1984-03-12,1984.0
smithje01w,Michigan,Unknown,C,190.5,89.811216,1982-04-10,1982.0
smithka01w,Ohio_State,Unknown,G,180.34,78.925008,1974-06-04,1974.0
smithki01w,Utah,Unknown,F,185.42000000000002,71.667536,1984-05-07,1984.0
smithla01w,Mississippi_State,Unknown,G,170.18,68.0388,1974-02-06,1974.0
smithta01w,Iowa,Unknown,F,193.04,72.57472,1977-04-01,1977.0
smithty01w,Delaware,Unknown,F,182.88,76.23469705189977,1985-04-21,1985.0
smithwa01w,Duke,Unknown,G,180.34,79.3786,1985-07-09,1985.0
snellbe01w,University_of_Sydney,Unknown,G,175.26,77.11064,1981-10-01,1981.0
snowmi01w,Tennessee,Unknown,C,195.58,71.667536,1980-03-20,1980.0
sobrale01w,Unknown,Unknown,F,185.42000000000002,83.007336,1974-11-22,1974.0
sobrama01w,Unknown,Unknown,C,190.5,73.935496,1964-03-23,1964.0
spencsi01w,Tennessee,Unknown,G,190.5,83.007336,1985-03-07,1985.0
spornra01w,Unknown,Unknown,F,187.96,68.0388,1968-05-26,1968.0
stafftr01w,California,Unknown,F,185.42000000000002,81.64656,1970-11-11,1970.0
staleda01w,Virginia,Unknown,G,167.64000000000001,60.781328,1970-05-04,1970.0
stanlma99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
stansti01w,North_Carolina_State,Unknown,F,190.5,83.007336,1983-01-16,1983.0
starbka01w,Stanford,Unknown,G,185.42000000000002,69.399576,1975-07-30,1975.0
stedika01w,Stanford,Unknown,F,182.88,78.471416,1967-12-11,1967.0
stepama01w,Unknown,Unknown,C,203.2,84.821704,1979-02-23,1979.0
stephre01w,UCLA,Unknown,G,180.34,72.57472,1969-12-28,1969.0
stephst01w,Texas,Unknown,C,193.04,92.98636,1982-01-21,1982.0
sterkca01w,Central_Michigan,Unknown,F,187.96,77.11064,,
stevema01w,Auburn,Unknown,F,190.5,75.296272,1982-02-04,1982.0
