year,Conf_EA,Conf_WE
2,-0.08247860988423225,0.9047619047619048
3,0.2155727271443866,0.7142857142857144
4,0.4642857142857144,0.7142857142857144
5,0.08571428571428573,0.8214285714285715
6,0.8285714285714287,0.7500000000000002
7,0.7142857142857144,0.642857142857143
8,0.8285714285714287,0.3571428571428572
9,0.6071428571428572,0.25
10,0.5,0.4285714285714286
