playerID,tmID,target_year,height,weight,is_guard,is_forward,is_center,college_score,has_college,coach_win_pct,coach_playoff_wins,team_win_pct,team_conf_rank,team_made_playoffs,won_rookie_of_the_year
gilloje01w,PHO,1,75.0,180,0,1,1,1,1,0.5,0,0.5,6.0,0,0
gilmous01w,IND,1,71.0,158,1,0,0,1,1,0.5,0,0.5,6.0,0,0
goodsad01w,UTA,1,72.0,165,0,1,0,1,1,0.5,0,0.5,6.0,0,0
grginve01w,LAS,1,73.0,160,0,1,0,0,0,0.5,0,0.5,6.0,0,0
griffyo01w,SAC,1,75.0,188,0,1,1,1,1,0.5,0,0.5,6.0,0,0
groomla01w,SAC,1,70.0,160,1,1,0,1,1,0.5,0,0.5,6.0,0,0
grubigo01w,IND,1,71.0,165,1,0,0,0,0,0.5,0,0.5,6.0,0,0
hallvi01w,CLE,1,73.0,180,0,1,0,1,1,0.5,0,0.5,6.0,0,0
hammobe01w,NYL,1,66.0,136,1,0,0,1,1,0.5,0,0.5,6.0,0,0
hamzoro01w,ORL,1,69.0,152,1,0,0,0,0,0.5,0,0.5,6.0,0,0
harrido01w,IND,1,75.0,190,0,1,0,1,1,0.5,0,0.5,6.0,0,0
harrili01w,PHO,1,73.0,164,0,1,0,1,1,0.5,0,0.5,6.0,0,0
headde01w,PHO,1,70.0,160,1,0,0,1,1,0.5,0,0.5,6.0,0,0
henniso01w,SEA,1,67.0,143,1,0,0,1,1,0.5,0,0.5,6.0,0,0
herriam01w,UTA,1,76.0,189,0,0,1,1,1,0.5,0,0.5,6.0,0,0
hibbeka01w,SEA,1,70.0,140,1,1,0,1,1,0.5,0,0.5,6.0,0,0
hicksje01w,ORL,1,76.0,188,0,1,1,1,1,0.5,0,0.5,6.0,0,0
hillec01w,CHA,1,67.0,173,1,0,0,1,1,0.5,0,0.5,6.0,0,0
hledeko01w,UTA,1,69.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
holdsch01w,WAS,1,74.0,172,0,1,0,1,1,0.5,0,0.5,6.0,0,0
hollake01w,SAC,1,68.0,129,1,0,0,1,1,0.5,0,0.5,6.0,0,0
holmejo01w,DET,1,70.0,150,0,1,0,1,1,0.5,0,0.5,6.0,0,0
hopeky01w,UTA,1,74.0,165,0,0,1,1,1,0.5,0,0.5,6.0,0,0
ivanyda01w,UTA,1,70.0,135,1,0,0,1,1,0.5,0,0.5,6.0,0,0
jacksta01w,HOU,1,75.0,179,0,1,1,1,1,0.5,0,0.5,6.0,0,0
jacksta02w,DET,1,66.0,118,1,0,0,1,1,0.5,0,0.5,6.0,0,0
johnsad01w,ORL,1,70.0,154,1,0,0,1,1,0.5,0,0.5,6.0,0,0
johnsla01w,UTA,1,73.0,150,0,1,0,1,1,0.5,0,0.5,6.0,0,0
johnsni01w,CHA,1,69.0,146,1,0,0,1,1,0.5,0,0.5,6.0,0,0
johnspo01w,CLE,1,75.0,165,0,0,1,1,1,0.5,0,0.5,6.0,0,0
johnssh01w,ORL,1,67.0,152,1,0,0,1,1,0.5,0,0.5,6.0,0,0
johnsti01w,HOU,1,76.0,240,0,0,1,1,1,0.5,0,0.5,6.0,0,0
johnsvi01w,NYL,1,69.0,150,1,1,0,1,1,0.5,0,0.5,6.0,0,0
jonesja01w,MIA,1,69.0,158,1,0,0,1,1,0.5,0,0.5,6.0,0,0
jonesla01w,CHA,1,73.0,180,1,0,0,1,1,0.5,0,0.5,6.0,0,0
jonesme01w,CLE,1,69.0,147,1,0,0,1,1,0.5,0,0.5,6.0,0,0
kostita01w,MIA,1,73.0,163,0,1,0,1,1,0.5,0,0.5,6.0,0,0
kubikni01w,PHO,1,69.0,145,1,0,0,1,1,0.5,0,0.5,6.0,0,0
lacyve01w,NYL,1,76.0,234,0,0,1,1,1,0.5,0,0.5,6.0,0,0
lambmo01w,HOU,1,77.0,206,0,0,1,1,1,0.5,0,0.5,6.0,0,0
lennobe01w,MIN,1,68.0,143,1,0,0,1,1,0.5,0,0.5,6.0,0,1
leslili01w,LAS,1,77.0,170,0,0,1,1,1,0.5,0,0.5,6.0,0,0
lloydan01w,MIN,1,74.0,175,0,1,0,1,1,0.5,0,0.5,6.0,0,0
lovelst01w,SEA,1,76.0,170,0,1,0,1,1,0.5,0,0.5,6.0,0,0
mabikmw01w,LAS,1,71.0,165,1,1,0,0,0,0.5,0,0.5,6.0,0,0
machacl01w,LAS,1,77.0,180,0,1,1,1,1,0.5,0,0.5,6.0,0,0
mahonsh01w,NYL,1,76.0,178,0,1,0,1,1,0.5,0,0.5,6.0,0,0
mannish01w,MIA,1,75.0,186,0,1,1,1,1,0.5,0,0.5,6.0,0,0
mapprh01w,CHA,1,74.0,190,0,0,1,1,1,0.5,0,0.5,6.0,0,0
marcimi01w,POR,1,70.0,154,1,0,0,1,1,0.5,0,0.5,6.0,0,0
martima01w,MIN,1,76.0,172,0,1,0,1,1,0.5,0,0.5,6.0,0,0
maxwemo01w,IND,1,69.0,162,0,1,0,1,1,0.5,0,0.5,6.0,0,0
mccaiti01w,ORL,1,70.0,167,1,1,0,1,1,0.5,0,0.5,6.0,0,0
mccarst01w,IND,1,69.0,155,1,1,0,1,1,0.5,0,0.5,6.0,0,0
mcconsu01w,CLE,1,65.0,125,1,0,0,1,1,0.5,0,0.5,6.0,0,0
mccrani01w,WAS,1,71.0,158,1,0,0,1,1,0.5,0,0.5,6.0,0,0
mccrini01w,LAS,1,68.0,125,1,0,0,1,1,0.5,0,0.5,6.0,0,0
mcculda01w,IND,1,75.0,180,0,1,1,1,1,0.5,0,0.5,6.0,0,0
mcgheca01w,ORL,1,73.0,179,0,1,1,1,1,0.5,0,0.5,6.0,0,0
mcwilta01w,ORL,1,74.0,188,0,1,1,1,1,0.5,0,0.5,6.0,0,0
melvich01w,CLE,1,75.0,185,0,1,1,1,1,0.5,0,0.5,6.0,0,0
millsta01w,WAS,1,75.0,232,0,0,1,1,1,0.5,0,0.5,6.0,0,0
miltode01w,LAS,1,73.0,185,0,1,0,1,1,0.5,0,0.5,6.0,0,0
mulitna01w,UTA,1,75.0,207,0,0,1,1,1,0.5,0,0.5,6.0,0,0
nagyan01w,WAS,1,67.0,147,1,0,0,1,1,0.5,0,0.5,6.0,0,0
ndiayas01w,DET,1,75.0,182,0,1,1,1,1,0.5,0,0.5,6.0,0,0
nemcoev01w,CLE,1,74.0,178,0,1,0,0,0,0.5,0,0.5,6.0,0,0
nevescl01w,DET,1,68.0,136,1,0,0,0,0,0.5,0,0.5,6.0,0,0
nygaava01w,POR,1,73.0,166,0,1,0,1,1,0.5,0,0.5,6.0,0,0
owenhe01w,WAS,1,77.0,212,0,1,0,1,1,0.5,0,0.5,6.0,0,0
owenssh01w,MIA,1,74.0,175,0,0,1,1,1,0.5,0,0.5,6.0,0,0
pagemu01w,WAS,1,74.0,160,0,1,0,1,1,0.5,0,0.5,6.0,0,0
palmewe01w,DET,1,74.0,165,0,1,0,1,1,0.5,0,0.5,6.0,0,0
payeka01w,MIN,1,68.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
penicti01w,SAC,1,71.0,145,1,0,0,1,1,0.5,0,0.5,6.0,0,0
pettibr01w,PHO,1,69.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
phillta01w,NYL,1,74.0,200,0,1,1,1,1,0.5,0,0.5,6.0,0,0
potthan01w,MIN,1,73.0,191,0,1,0,1,1,0.5,0,0.5,6.0,0,0
powelel01w,ORL,1,68.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
pridely01w,POR,1,74.0,180,1,1,0,1,1,0.5,0,0.5,6.0,0,0
quinnte01w,IND,1,76.0,165,0,1,0,1,1,0.5,0,0.5,6.0,0,0
rasmukr01w,MIA,1,76.0,174,0,1,0,1,1,0.5,0,0.5,6.0,0,0
rasmukr01w,UTA,1,76.0,174,0,1,0,1,1,0.5,0,0.5,6.0,0,0
reddja01w,SEA,1,73.0,164,0,1,0,1,1,0.5,0,0.5,6.0,0,0
reedbr01w,PHO,1,73.0,168,0,1,0,1,1,0.5,0,0.5,6.0,0,0
reidtr01w,CHA,1,71.0,150,0,1,0,1,1,0.5,0,0.5,6.0,0,0
rizzoje01w,HOU,1,66.0,146,1,0,0,1,1,0.5,0,0.5,6.0,0,0
robincr01w,NYL,1,71.0,155,1,1,0,1,1,0.5,0,0.5,6.0,0,0
robinre01w,WAS,1,71.0,166,1,0,0,1,1,0.5,0,0.5,6.0,0,0
rolanja01w,ORL,1,73.0,167,1,1,0,1,1,0.5,0,0.5,6.0,0,0
salesny01w,ORL,1,72.0,184,1,1,0,1,1,0.5,0,0.5,6.0,0,0
sampsch01w,SEA,1,71.0,175,1,0,0,1,1,0.5,0,0.5,6.0,0,0
samsh01w,MIA,1,72.0,160,1,1,0,1,1,0.5,0,0.5,6.0,0,0
santoal01w,IND,1,77.0,181,0,0,1,0,0,0.5,0,0.5,6.0,0,0
sarenra01w,PHO,1,78.0,222,0,0,1,0,0,0.5,0,0.5,6.0,0,0
sauerpa01w,LAS,1,76.0,203,0,0,1,1,1,0.5,0,0.5,6.0,0,0
scottol01w,DET,1,74.0,175,0,0,1,1,1,0.5,0,0.5,6.0,0,0
shakiel01w,HOU,1,75.0,190,0,1,1,0,0,0.5,0,0.5,6.0,0,0
slaisma01w,DET,1,68.0,173,1,0,0,1,1,0.5,0,0.5,6.0,0,0
smithch02w,CHA,1,70.0,145,0,1,0,1,1,0.5,0,0.5,6.0,0,0
smithch03w,SEA,1,72.0,148,1,0,0,1,1,0.5,0,0.5,6.0,0,0
smithka01w,MIN,1,71.0,174,1,1,0,1,1,0.5,0,0.5,6.0,0,0
smithla01w,ORL,1,67.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
smithta01w,SAC,1,76.0,160,0,1,1,1,1,0.5,0,0.5,6.0,0,0
staleda01w,CHA,1,66.0,134,1,0,0,1,1,0.5,0,0.5,6.0,0,0
starbka01w,UTA,1,73.0,153,1,0,0,1,1,0.5,0,0.5,6.0,0,0
stedika01w,SAC,1,72.0,173,1,1,0,1,1,0.5,0,0.5,6.0,0,0
stepama01w,PHO,1,80.0,187,0,0,1,0,0,0.5,0,0.5,6.0,0,0
stinsan01w,CHA,1,70.0,158,1,0,0,1,1,0.5,0,0.5,6.0,0,0
stiresh01w,MIN,1,71.0,208,0,1,0,1,1,0.5,0,0.5,6.0,0,0
streiju01w,IND,1,74.0,165,0,1,0,0,0,0.5,0,0.5,6.0,0,0
