coachID,tmID,target_year,wins,losses,win_pct,post_wins,made_playoffs,conf_rank,win_improvement,playoff_improvement,career_win_pct,career_playoff_wins,years_coaching,won_coty_before,won_coach_of_the_year
brownde01w,SAS,5,6,20,0.23076923076923078,0,0,7.0,-0.12217194570135748,-1,0.499984375488266,0,1,0,0
chancva99w,HOU,5,13,21,0.38235294117647056,0,0,6.0,-0.20588235294117652,-1,0.6923023669048699,8,4,0,0
coopemi01w,LAS,5,14,6,0.7,0,0,1.0,-0.005882352941176561,-1,0.8076860947223483,19,4,1,0
coylepa99w,NYL,5,11,7,0.6111111111111112,2,1,1.5,0.14052287581699352,0,0.5,0,0,0,0
dailesh99w,SAS,5,3,5,0.375,0,0,7.0,0.022058823529411742,-1,0.49995833680526625,0,1,0,0
donovan99w,SEA,5,20,14,0.5882352941176471,6,1,2.0,0.05882352941176472,0,0.48461165683340895,4,4,0,0
grafca99wc,PHO,5,17,17,0.5,0,0,5.0,0.2647058823529412,-1,0.5,0,0,0,0
laceytr99w,CHA,5,16,18,0.47058823529411764,0,0,5.0,-0.05882352941176472,-1,0.5293961942295815,0,1,0,0
laimbbi01w,DET,5,17,17,0.5,1,1,3.5,-0.23529411764705888,0,0.6071320154997233,6,2,1,0
mcconsu01w,MIN,5,18,16,0.5294117647058824,0,1,3.5,0.0,0,0.5293961942295815,1,1,0,1
thibami99w,CON,5,18,16,0.5294117647058824,5,1,1.5,0.0,0,0.5293961942295815,2,1,0,0
thompka99w,LAS,5,11,3,0.7857142857142857,1,1,1.0,0.07983193277310918,0,0.5,0,0,0,0
weisery99w,LAS,5,11,3,0.7857142857142857,1,1,1.0,0.07983193277310918,0,0.5,0,0,0,0
whisejo99w,SAC,5,18,16,0.5294117647058824,3,1,3.5,-0.02941176470588236,0,0.7499531279295043,3,1,0,0
wintebr01w,IND,5,15,19,0.4411764705882353,0,0,6.0,-0.02941176470588236,-1,0.5,0,0,0,0
adubari99w,WAS,6,16,18,0.47058823529411764,0,0,4.5,-0.02941176470588236,-1,0.5616399887672002,11,5,0,0
bibbyhe01w,LAS,6,13,15,0.4642857142857143,0,0,4.0,-0.2710084033613446,-1,0.5,0,0,0,0
boguemu01w,CHA,6,3,7,0.3,0,0,6.0,-0.17058823529411765,-1,0.5,0,0,0,0
bryanjo01w,LAS,6,4,2,0.6666666666666666,0,1,4.0,-0.06862745098039225,0,0.5,0,0,0,0
chancva99w,HOU,6,19,15,0.5588235294117647,2,1,3.0,0.17647058823529416,0,0.628044950945421,8,5,0,0
coylepa99w,NYL,6,18,16,0.5294117647058824,0,1,3.0,0.0,0,0.6110771623798678,2,1,0,0
donovan99w,SEA,6,20,14,0.5882352941176471,1,1,2.0,0.0,0,0.5060944750336888,10,5,0,0
grafca99wc,PHO,6,16,18,0.47058823529411764,0,0,5.0,-0.02941176470588236,-1,0.49998529455016033,0,1,0,0
hugheda99w,SAS,6,7,27,0.20588235294117646,0,0,7.0,-0.05882352941176472,-1,0.5076884023969046,5,4,1,0
laceytr99w,CHA,6,3,21,0.125,0,0,6.0,-0.34558823529411764,-1,0.4999926471669534,0,2,0,0
laimbbi01w,DET,6,16,18,0.47058823529411764,0,1,4.5,-0.02941176470588236,0,0.5666603704403285,7,3,1,0
mcconsu01w,MIN,6,14,20,0.4117647058823529,0,0,6.0,-0.11764705882352944,-1,0.5294039793532448,1,2,1,0
thibami99w,CON,6,26,8,0.7647058823529411,5,1,1.0,0.23529411764705876,0,0.5294039793532448,7,2,0,0
whisejo99w,SAC,6,25,9,0.7352941176470589,7,1,1.0,0.20588235294117652,0,0.5999880002399952,6,2,0,1
wintebr01w,IND,6,21,13,0.6176470588235294,2,1,2.0,0.17647058823529416,0,0.4411634951913179,0,1,0,0
adubari99w,WAS,7,18,16,0.5294117647058824,0,1,4.0,0.05882352941176472,0,0.5444414197698901,11,6,0,0
boguemu01w,CHA,7,11,23,0.3235294117647059,0,0,5.5,0.14705882352941177,-1,0.29997000299970006,0,1,0,0
bryanjo01w,LAS,7,25,9,0.7352941176470589,2,1,1.0,0.23529411764705888,0,0.6665555740709881,0,1,0,0
chancva99w,HOU,7,18,16,0.5294117647058824,0,1,4.0,-0.02941176470588236,0,0.6161585042499785,10,6,0,0
cowenda01w,CHI,7,5,29,0.14705882352941177,0,0,7.0,0.0,0,0.5,0,0,0,0
coylepa99w,NYL,7,11,23,0.3235294117647059,0,0,5.5,-0.20588235294117646,-1,0.5576815830464799,2,2,0,0
donovan99w,SEA,7,18,16,0.5294117647058824,1,1,4.0,-0.05882352941176472,0,0.520199392932359,11,6,0,0
hugheda99w,SAS,7,13,21,0.38235294117647056,0,0,6.0,0.1764705882352941,-1,0.4451192370778227,5,5,1,0
jenkica99w,MIN,7,1,10,0.09090909090909091,0,0,7.0,-0.320855614973262,-1,0.5,0,0,0,0
laimbbi01w,DET,7,23,11,0.6764705882352942,7,1,2.0,0.20588235294117652,0,0.5403182232401351,7,4,1,0
mcconsu01w,MIN,7,9,14,0.391304347826087,0,0,7.0,-0.020460358056265948,-1,0.490191272634582,1,3,1,0
thibami99w,CON,7,26,8,0.7647058823529411,3,1,1.0,0.0,0,0.6078371780668816,12,3,0,1
westhpa99w,PHO,7,18,16,0.5294117647058824,0,0,4.0,0.05882352941176472,-1,0.5,0,0,0,0
whisejo99w,SAC,7,21,13,0.6176470588235294,6,1,2.0,-0.11764705882352944,0,0.6547541100701182,13,3,1,0
wintebr01w,IND,7,21,13,0.6176470588235294,0,1,3.0,0.0,0,0.5294039793532448,2,2,0,0
adubari99w,WAS,8,0,4,0.0,0,0,4.5,-0.5294117647058824,-1,0.5420535418058794,11,7,0,0
bouceje01w,SAC,8,19,15,0.5588235294117647,1,1,3.0,-0.05882352941176472,0,0.5,0,0,0,0
coopemi01w,LAS,8,10,24,0.29411764705882354,0,0,6.5,-0.44117647058823534,-1,0.7933280444797034,19,5,1,0
coylepa99w,NYL,8,16,18,0.47058823529411764,1,1,4.5,0.14705882352941174,0,0.46511087080382785,2,3,0,0
donovan99w,SEA,8,17,17,0.5,0,1,4.0,-0.02941176470588236,0,0.5215494760798445,12,7,0,0
hugheda99w,SAS,8,20,14,0.5882352941176471,2,1,2.0,0.20588235294117652,0,0.43434124070080454,5,6,1,1
laimbbi01w,DET,8,24,10,0.7058823529411765,6,1,1.0,0.02941176470588236,0,0.5696166479958987,14,5,1,0
overtbo99w,CHI,8,14,20,0.4117647058823529,0,0,6.0,0.2647058823529411,-1,0.5,0,0,0,0
rollitr01w,WAS,8,16,14,0.5333333333333333,0,0,4.5,0.0039215686274509665,-1,0.5,0,0,0,0
thibami99w,CON,8,18,16,0.5294117647058824,1,1,3.0,-0.23529411764705876,0,0.6470540657789281,15,4,1,0
thompka99w,HOU,8,13,21,0.38235294117647056,0,0,5.0,-0.1470588235294118,-1,0.7856581672737661,1,1,0,0
westhpa99w,PHO,8,23,11,0.6764705882352942,7,1,1.0,0.1470588235294118,0,0.5293961942295815,0,1,0,0
wintebr01w,IND,8,21,13,0.6176470588235294,3,1,2.0,0.0,0,0.5588180508034235,2,3,0,0
zierddo99w,MIN,8,10,24,0.29411764705882354,0,0,6.5,0.0,-1,0.5,0,0,0,0
aglerbr99w,SEA,9,22,12,0.6470588235294118,1,1,2.0,0.1470588235294118,0,0.3975855712581776,0,3,0,0
bouceje01w,SAC,9,18,16,0.5294117647058824,1,1,4.0,-0.02941176470588236,0,0.5588070939090027,1,1,0,0
coopemi01w,LAS,9,20,14,0.5882352941176471,3,1,3.0,0.29411764705882354,0,0.7010831462872484,19,6,1,0
coylepa99w,NYL,9,19,15,0.5588235294117647,3,1,3.0,0.08823529411764708,0,0.4666627778101849,3,4,0,0
dunnli99wc,IND,9,17,17,0.5,1,1,4.0,-0.11764705882352944,0,0.3437464193081322,0,3,0,0
gaineco01w,PHO,9,16,18,0.47058823529411764,0,0,6.5,-0.20588235294117652,-1,0.5,0,0,0,0
hugheda99w,SAS,9,24,10,0.7058823529411765,4,1,1.0,0.11764705882352944,0,0.4568945823509381,7,7,1,0
kenlaje99w,WAS,9,2,10,0.16666666666666666,0,0,6.0,-0.303921568627451,-1,0.5,0,0,0,0
keyst99wc,CHI,9,12,22,0.35294117647058826,0,0,5.0,-0.05882352941176466,-1,0.5,0,0,0,0
laimbbi01w,DET,9,22,12,0.6470588235294118,7,1,1.0,-0.05882352941176472,0,0.5937469075681897,20,6,1,0
meadoma99w,ATL,9,4,30,0.11764705882352941,0,0,7.0,0.0,0,0.5,0,0,0,0
rollitr01w,WAS,9,8,14,0.36363636363636365,0,0,6.0,-0.106951871657754,-1,0.5333155561481284,0,1,0,0
thibami99w,CON,9,21,13,0.6176470588235294,1,1,2.0,0.08823529411764708,0,0.623525743966212,16,5,1,1
thompka99w,HOU,9,17,17,0.5,0,0,5.0,0.11764705882352944,-1,0.49998958355034273,1,2,0,0
zierddo99w,MIN,9,16,18,0.47058823529411764,0,0,6.5,0.1764705882352941,-1,0.29410899679421193,0,1,0,0
aglerbr99w,SEA,10,20,14,0.5882352941176471,1,1,2.0,-0.05882352941176472,0,0.47008145229527953,1,4,0,0
bouceje01w,SAC,10,3,10,0.23076923076923078,0,0,6.0,-0.2986425339366516,-1,0.5441096454463905,2,2,0,0
coopemi01w,LAS,10,18,16,0.5294117647058824,3,1,3.0,-0.05882352941176472,0,0.683483103288517,22,7,1,0
coylepa99w,NYL,10,6,11,0.35294117647058826,0,0,7.0,-0.20588235294117646,-1,0.4870098246115285,6,5,0,0
donovan99w,NYL,10,7,10,0.4117647058823529,0,0,7.0,-0.1470588235294118,-1,0.5187950421239018,12,8,0,0
dunnli99wc,IND,10,22,12,0.6470588235294118,6,1,1.0,0.1470588235294118,0,0.38461242605826107,1,4,0,0
gaineco01w,PHO,10,23,11,0.6764705882352942,7,1,1.0,0.20588235294117652,0,0.47057439487073915,0,1,0,0
gilloje01w,MIN,10,14,20,0.4117647058823529,0,0,5.0,-0.05882352941176472,-1,0.5,0,0,0,0
hugheda99w,SAS,10,15,19,0.4411764705882353,1,1,4.0,-0.26470588235294124,0,0.4887199672181684,11,8,1,0
keyst99wc,CHI,10,16,18,0.47058823529411764,0,0,5.0,0.11764705882352938,-1,0.35293079615305434,0,1,0,0
laimbbi01w,DET,10,1,2,0.3333333333333333,0,0,2.5,-0.3137254901960785,-1,0.6017672488174831,27,7,1,0
mahorri01w,DET,10,17,14,0.5483870967741935,3,1,2.5,-0.09867172675521829,0,0.5,0,0,0,0
meadoma99w,ATL,10,18,16,0.5294117647058824,0,1,2.5,0.4117647058823529,0,0.11764359871768479,0,1,0,1
plankju99w,WAS,10,16,18,0.47058823529411764,0,1,5.0,0.1764705882352941,0,0.5,0,0,0,0
thibami99w,CON,10,16,18,0.47058823529411764,0,0,5.0,-0.1470588235294118,-1,0.622545967911922,17,6,1,0
whisejo99w,SAC,10,9,12,0.42857142857142855,0,0,6.0,-0.10084033613445381,-1,0.6440623384547588,19,4,1,0
